SA4_NAME16	Year	IndustryOfEmployment	Sex	workers
Capital Region	2006		F	803
Capital Region	2006		M	1185
Capital Region	2006	Accommodation and food services	F	4392
Capital Region	2006	Accommodation and food services	M	2997
Capital Region	2006	Administrative and support services	F	1205
Capital Region	2006	Administrative and support services	M	1008
Capital Region	2006	Agriculture forestry and fishing	F	1900
Capital Region	2006	Agriculture forestry and fishing	M	4985
Capital Region	2006	Arts and recreation services	F	613
Capital Region	2006	Arts and recreation services	M	789
Capital Region	2006	Construction	F	831
Capital Region	2006	Construction	M	6562
Capital Region	2006	Education and training	F	4104
Capital Region	2006	Education and training	M	1865
Capital Region	2006	Electricity gas water and waste services	F	234
Capital Region	2006	Electricity gas water and waste services	M	991
Capital Region	2006	Financial and insurance services	F	942
Capital Region	2006	Financial and insurance services	M	440
Capital Region	2006	Health care and social assistance	F	6942
Capital Region	2006	Health care and social assistance	M	1639
Capital Region	2006	Information media and telecommunications	F	514
Capital Region	2006	Information media and telecommunications	M	618
Capital Region	2006	Manufacturing	F	1302
Capital Region	2006	Manufacturing	M	4380
Capital Region	2006	Mining	F	17
Capital Region	2006	Mining	M	202
Capital Region	2006	Other services	F	1371
Capital Region	2006	Other services	M	1766
Capital Region	2006	Professional scientific and technical services	F	2155
Capital Region	2006	Professional scientific and technical services	M	2246
Capital Region	2006	Public administration and safety	F	4934
Capital Region	2006	Public administration and safety	M	5962
Capital Region	2006	Rental hiring and real estate services	F	768
Capital Region	2006	Rental hiring and real estate services	M	559
Capital Region	2006	Retail trade	F	6064
Capital Region	2006	Retail trade	M	4368
Capital Region	2006	Transport postal and warehousing	F	822
Capital Region	2006	Transport postal and warehousing	M	2851
Capital Region	2006	Wholesale trade	F	697
Capital Region	2006	Wholesale trade	M	1600
Capital Region	2011		F	807
Capital Region	2011		M	1190
Capital Region	2011	Accommodation and food services	F	4510
Capital Region	2011	Accommodation and food services	M	3145
Capital Region	2011	Administrative and support services	F	1296
Capital Region	2011	Administrative and support services	M	1179
Capital Region	2011	Agriculture forestry and fishing	F	1627
Capital Region	2011	Agriculture forestry and fishing	M	4521
Capital Region	2011	Arts and recreation services	F	693
